"add authority control, addedunderlinkedtag",safe,Ser Amantio di Nicolao,"{{Multiple issues|
{{Underlinked|date=April 2020}}
{{BLP sources|date=January 2017}}
}}

'''David Hyerle''' is an author and creator of a thought-organization methodology called \"[[Thinking Maps]]\" that is popular in public schools in the United States.<ref>[http://www2.seresc.net/dft.html Thinking Maps<!-- Bot generated title -->] {{webarchive |url=https://web.archive.org/web/20060519011007/http://www2.seresc.net/dft.html |date=May 19, 2006 }}</ref>

==References==
{{reflist}}


{{authority control}}

{{DEFAULTSORT:Hyerle, David}}
[[Category:American male writers]]
[[Category:Living people]]
[[Category:Year of birth missing (living people)]]


{{US-writer-stub}}","{{BLP sources|date=January 2017}}

'''David Hyerle''' is an author and creator of a thought-organization methodology called \"[[Thinking Maps]]\" that is popular in public schools in the United States.<ref>[http://www2.seresc.net/dft.html Thinking Maps<!-- Bot generated title -->] {{webarchive |url=https://web.archive.org/web/20060519011007/http://www2.seresc.net/dft.html |date=May 19, 2006 }}</ref>

==References==
{{reflist}}

{{DEFAULTSORT:Hyerle, David}}
[[Category:American male writers]]
[[Category:Living people]]
[[Category:Year of birth missing (living people)]]


{{US-writer-stub}}",David Hyerle,//en.wikipedia.org/wiki/David_Hyerle
Reflist,safe,GünniX,"{{unreferenced|date=April 2020}}
[[File:Yuan_Provinces.png|thumb|right|Yuan provinces in 1330]]
'''Jiangxi province''' was a province of the [[Yuan dynasty]] established in 1277. It included modern [[Jiangxi]], and most of [[Guangdong]].<ref>Duosang Mongol History, Vol. 1; Zhong-gou Tong-shi; History of Zhong-gou Border Nationalities; The New Yuan-shih</ref> The capital was [[Longxing]], now called [[Nanchang]].

==See also==
* [[Administrative divisions of the Yuan dynasty]]

==References==
{{Reflist}}

[[Category:Provinces of the Yuan dynasty]]
[[Category:1277 establishments]]
[[Category:History of Jiangxi]]
[[Category:History of Guangdong]]","{{unreferenced|date=April 2020}}
[[File:Yuan_Provinces.png|thumb|right|Yuan provinces in 1330]]
'''Jiangxi province''' was a province of the [[Yuan dynasty]] established in 1277. It included modern [[Jiangxi]], and most of [[Guangdong]].<ref>Duosang Mongol History, Vol. 1; Zhong-gou Tong-shi; History of Zhong-gou Border Nationalities; The New Yuan-shih</ref> The capital was [[Longxing]], now called [[Nanchang]].

==See also==
* [[Administrative divisions of the Yuan dynasty]]

[[Category:Provinces of the Yuan dynasty]]
[[Category:1277 establishments]]
[[Category:History of Jiangxi]]
[[Category:History of Guangdong]]",Jiangxi province (Yuan dynasty),//en.wikipedia.org/wiki/Jiangxi_province_(Yuan_dynasty)
"→‎top:Cleanup andtypo fixing,typo(s) fixed: Independant → Independent",safe,Iridescent,"'''Australian International School''' may refer to:
* [[Australian International School Beijing]]
* [[Australian International School Dhaka]]
* [[Australian International School Hong Kong]]
* [[AIS Indonesia|Australian Independent School, Indonesia]], formerly'' Australian International School, Indonesia''. Name change was a government requirement.
* [[Australian International School, Malaysia]]
* [[Australian International School, Sharjah]]
* [[Australian International School Singapore]]
* [[Australian International School, Vietnam]]

{{school disambiguation}}","'''Australian International School''' may refer to:
* [[Australian International School Beijing]]
* [[Australian International School Dhaka]]
* [[Australian International School Hong Kong]]
* [[AIS Indonesia|Australian Independant School, Indonesia]], formerly'' Australian International School, Indonesia''. Name change was a government requirement.
* [[Australian International School, Malaysia]]
* [[Australian International School, Sharjah]]
* [[Australian International School Singapore]]
* [[Australian International School, Vietnam]]

{{school disambiguation}}",Australian International School,//en.wikipedia.org/wiki/Australian_International_School
Fixed capitalization.,safe,Bpekaric,"'''Aftermarket''' may refer to:
* [[Aftermarket (merchandise)]], any market where customers who buy one product or service are likely to buy a related, follow-on product
* [[Aftermarket (automotive)]], the addition of non-factory parts, accessories and upgrades to a motor vehicle also to include removal of parts after vehicle is placed on market
* Aftermarket (finance), or [[secondary market]] in financial parlance, the trading of securities that have already been issued
* The market for parts that are no longer made, see [[new old stock]]

{{disambiguation}}
[[zh:二级市场]]","'''Aftermarket''' may refer to:
* [[Aftermarket (merchandise)]], any market where customers who buy one product or service are likely to buy a related, follow-on product
* [[Aftermarket (automotive)]], the addition of non-factory parts, accessories and upgrades to a motor vehicle also to include removal of parts after vehicle is placed on market
* Aftermarket (finance), or [[secondary market]] in financial parlance, the trading of securities that have already been issued
* the market for parts that are no longer made, see [[new old stock]]

{{disambiguation}}
[[zh:二级市场]]",Aftermarket,//en.wikipedia.org/wiki/Aftermarket
Update date format tag and add authority control template,safe,Rich Farmbrough,"{{Use dmy dates|date=April 2020}}
{{Lists of Slovenians}}
A list of notable [[chemist]]s from [[Slovenia]]:

{{compact ToC|side=yes|top=yes|num=yes}}

== D ==
* [[Davorin Dolar]] (1921–2005)

== G ==
* [[Franc Gubenšek]]

== K ==
* [[Drago Kolar]] (1932–2000)

== P ==
* [[Friderik Pregl]] (1869–1930)

== S ==
* [[Branko Stanovnik]] (1932-)

{{Authority control}}

[[Category:Slovenian chemists| ]]
[[Category:Lists of Slovenian people by occupation|Chemist]]","{{Use dmy dates|date=September 2010}}
{{Lists of Slovenians}}
A list of notable [[chemist]]s from [[Slovenia]]:

{{compact ToC|side=yes|top=yes|num=yes}}

== D ==
* [[Davorin Dolar]] (1921–2005)

== G ==
* [[Franc Gubenšek]]

== K ==
* [[Drago Kolar]] (1932–2000)

== P ==
* [[Friderik Pregl]] (1869–1930)

== S ==
* [[Branko Stanovnik]] (1932-)

[[Category:Slovenian chemists| ]]
[[Category:Lists of Slovenian people by occupation|Chemist]]",List of Slovenian chemists,//en.wikipedia.org/wiki/List_of_Slovenian_chemists
rm cats.,safe,JGabbard,"#REDIRECT[[(I Think I'm Over) Getting Over You]]
{{R from song}}
<ref>Peter Dunbavan ''An Avid's Guide to Sixties Songwriters'' 1524633453 2017 \"In late 1968, Tony Hazzard's new song 'Listen To Me' broke this trend and was chosen as a single, maybe because, ... spawned his last successful UK chart placing, 'Getting Over You' which Hazzard hoped Art Garfunkel would record; it was ...\"</ref>
{{reflist}}","#REDIRECT[[(I Think I'm Over) Getting Over You]]
{{R from song}}
<ref>Peter Dunbavan ''An Avid's Guide to Sixties Songwriters'' 1524633453 2017 \"In late 1968, Tony Hazzard's new song 'Listen To Me' broke this trend and was chosen as a single, maybe because, ... spawned his last successful UK chart placing, 'Getting Over You' which Hazzard hoped Art Garfunkel would record; it was ...\"</ref>
{{reflist}}
[[Category:1973 songs]]
[[Category:1974 singles]]
[[Category:Songs written by Tony Hazzard]]
[[Category:Andy Williams songs]]",Getting Over You (Andy Williams song),//en.wikipedia.org/w/index.php?title=Getting_Over_You_(Andy_Williams_song)&redirect=no
(Added definitions),vandal,38.145.149.219,"'''Depew''' may refer to: any of the people who smell also see lapew

==Places==
;United States
* [[Depew, Iowa]], an unincorporated community
* [[Depew, Missouri]], an unincorporated community
* [[Depew, New York]], a village
* [[Depew, Ohio]], an unincorporated community
* [[Depew, Oklahoma]], a town

==People with the surname==
*[[Chauncey Depew]] (1834–1928), American politician and lawyer
*[[Joseph Depew]] (1912–1988), American actor and director

{{Disambiguation|geo|surname}}","'''Depew''' may refer to:

==Places==
;United States
* [[Depew, Iowa]], an unincorporated community
* [[Depew, Missouri]], an unincorporated community
* [[Depew, New York]], a village
* [[Depew, Ohio]], an unincorporated community
* [[Depew, Oklahoma]], a town

==People with the surname==
*[[Chauncey Depew]] (1834–1928), American politician and lawyer
*[[Joseph Depew]] (1912–1988), American actor and director

{{Disambiguation|geo|surname}}",Depew,//en.wikipedia.org/wiki/Depew
"→‎top:clean up, addedorphan,uncategorisedtags",safe,CAPTAIN RAJU,"{{db-corp}}
{{Orphan|date=April 2020}}

'''Queen's Wharf''' is a multipurpose entertainment and hotel precinct straddling [[William Street, Brisbane|William Street]], under construction  in the [[Brisbane central business district|Brisbane CBD]] of Queensland, Australia. The redevelopment will include the construction of five new high-rise buildings and the repurposing of existing heritage-listed structures within the site.

{{Uncategorized|date=April 2020}}","{{db-corp}}

'''Queen's Wharf''' is a multipurpose entertainment and hotel precinct straddling [[William Street, Brisbane|William Street]], under construction  in the [[Brisbane central business district|Brisbane CBD]] of Queensland, Australia. The redevelopment will include the construction of five new high-rise buildings and the repurposing of existing heritage-listed structures within the site.",Queen's Wharf (Brisbane),//en.wikipedia.org/wiki/Queen%27s_Wharf_(Brisbane)
Update Hay Bridge N.S.W. to include modern bridge following article update on the same.,safe,TrimmerinWiki,"'''Hay Bridge''' may refer to:
*[[Sennoy Bridge]], Saint Petersburg, Russia
*[[Hay-on-Wye Bridge]], Powys, Wales
*[[Hay's bridge]] an electric circuit for measurement.
*[[Hay Bridge, New South Wales|Hay Bridge]], a bridge over the Murrumbidgee River at Hay, N.S.W., Australia; both the modern concrete bridge and the former iron-lattice swing bridge (1873 to 1973).

{{disambig}}","'''Hay Bridge''' may refer to:
*[[Sennoy Bridge]], Saint Petersburg, Russia
*[[Hay-on-Wye Bridge]], Powys, Wales
*[[Hay's bridge]] an electric circuit for measurement.
*[[Hay Bridge, New South Wales|Hay Bridge]] an iron-lattice swing bridge across the Murrumbidgee River at Hay, New South Wales, Australia. It existed between 1873 and 1973.

{{disambig}}",Hay Bridge,//en.wikipedia.org/wiki/Hay_Bridge
→‎top:add authority control,safe,Ser Amantio di Nicolao,"{{unreferenced|date=November 2015}}
{{Expand French|Charles Mopsik|date=January 2012}}
'''Charles Mopsik''' (1956–2003) was a [[France|French]] author.


{{authority control}}

{{DEFAULTSORT:Mopsik, Charles}}
[[Category:1956 births]]
[[Category:2003 deaths]]
[[Category:French male writers]]
[[Category:Kabbalah]]


{{France-reli-bio-stub}}","{{unref|date=November 2015}}
{{Expand French|Charles Mopsik|date=January 2012}}
'''Charles Mopsik''' (1956–2003) was a [[France|French]] author.

{{DEFAULTSORT:Mopsik, Charles}}
[[Category:1956 births]]
[[Category:2003 deaths]]
[[Category:French male writers]]
[[Category:Kabbalah]]


{{France-reli-bio-stub}}",Charles Mopsik,//en.wikipedia.org/wiki/Charles_Mopsik
direct link,safe,Tom Radulovich,"'''Mutasa''' may refer to:

*[[Didymus Mutasa]]
*[[Mutasa District]] in Manicaland Province, Zimbabwe

<!-- Long comment to avoid being listed on short pages                                                                                                                                               -->

{{disambiguation}}","'''Mutasa''' may refer to:

*[[Didymus Mutasa]]
*[[Mutasa (District)]] in Manicaland Province, Zimbabwe

<!-- Long comment to avoid being listed on short pages                                                                                                                                               -->

{{disambiguation}}",Mutasa,//en.wikipedia.org/wiki/Mutasa
cat,safe,Darwinek,"'''Sowiński''' (feminine '''Sowińska''') is a Polish surname, it may refer to:
* [[Ewa Sowińska]], Polish politician
* [[Józef Sowiński]], Polish general
* [[Judy Sowinski]], American roller skater
* [[Marian Sowiński]], Polish general

{{surname}}

[[Category:Polish-language surnames]]","'''Sowiński''' (feminine '''Sowińska''') is a Polish surname, it may refer to:
* [[Ewa Sowińska]], Polish politician
* [[Józef Sowiński]], Polish general
* [[Judy Sowinski]], American roller skater
* [[Marian Sowiński]], Polish general

{{surname}}",Sowiński,//en.wikipedia.org/wiki/Sowi%C5%84ski
→‎top:R from subpage,safe,1234qwer1234qwer4,"#REDIRECT [[List of recurring The Simpsons characters#Maude Flanders]]

{{redirect category shell|
{{R from subpage}}
{{R to section}}
{{R avoided double redirect|Maude Flanders}}
}}","#REDIRECT [[List of recurring The Simpsons characters#Maude Flanders]]
{{redirect category shell|1=
{{R to section}}
{{R avoided double redirect|Maude Flanders}}
}}",The Simpsons/Maude Flanders,//en.wikipedia.org/w/index.php?title=The_Simpsons/Maude_Flanders&redirect=no
