word;;;;
anal;;;;
anus;;;;
arse;;;;Base List of Bad Words (CSV File)
ass;;;;
ass fuck;;;;This Base Bad Words List is provided free by: Free Web Headers – www.freewebheaders.com
ass hole;;;;
assfucker;;;;Last Update: Jul 30, 2018
asshole;;;;
assshole;;;;URL: https://www.freewebheaders.com/full-list-of-bad-words-banned-by-google/
bastard;;;;
bitch;;;;Copy all the words in column 'A' at the left side
black cock;;;;
bloody hell;;;;
boong;;;;
cock;;;;
cockfucker;;;;
cocksuck;;;;
cocksucker;;;;
coon;;;;
coonnass;;;;
crap;;;;
cunt;;;;
cyberfuck;;;;
damn;;;;
darn;;;;
dick;;;;
dirty;;;;
douche;;;;
dummy;;;;
erect;;;;
erection;;;;
erotic;;;;
escort;;;;
fag;;;;
faggot;;;;
fuck;;;;
Fuck off;;;;
fuck you;;;;
fuckass;;;;
fuckhole;;;;
god damn;;;;
gook;;;;
hard core;;;;
hardcore;;;;
homoerotic;;;;
hore;;;;
lesbian;;;;
lesbians;;;;
mother fucker;;;;
motherfuck;;;;
motherfucker;;;;
negro;;;;
nigger;;;;
orgasim;;;;
orgasm;;;;
penis;;;;
penisfucker;;;;
piss;;;;
piss off;;;;
porn;;;;
porno;;;;
pornography;;;;
pussy;;;;
retard;;;;
sadist;;;;
sex;;;;
sexy;;;;
shit;;;;
slut;;;;
son of a bitch;;;;
suck;;;;
tits;;;;
viagra;;;;
whore;;;;
xxx;;;;
